,United States of America,Federal state,".mw-parser-output .monospaced{font-family:monospace,monospace}USUSA840",US,00,,,U.S.,U.S.,U.S.A.,,,,,
12,Alabama,State,US-AL,AL,01,AL,AL,Ala.,Ala.,,,,,,
13,Alaska,State,US-AK,AK,02,AK,AK,Alaska,Alaska,Alas.,,,,,
14,Arizona,State,US-AZ,AZ,04,AZ,AZ,Ariz.,Ariz.,Az.,,,,,
15,Arkansas,State,US-AR,AR,05,AR,AR,Ark.,Ark.,,,,,,
16,California,State,US-CA,CA,06,CA,CF,Calif.,Calif.,"Ca., Cal.",,,,,
17,Colorado,State,US-CO,CO,08,CO,CL,Colo.,Colo.,Col.,,,,,
18,Connecticut,State,US-CT,CT,09,CT,CT,Conn.,Conn.,Ct.,,,,,
19,Delaware,State,US-DE,DE,10,DE,DL,Del.,Del.,De.,,,,,
20,DistrictofColumbia,Federal district,US-DC,DC,11,DC,DC,D.C.,D.C.,Wash. D.C.,,,,,
21,Florida,State,US-FL,FL,12,FL,FL,Fla.,Fla.,"Fl., Flor.",,,,,
22,Georgia,State,US-GA,GA,13,GA,GA,Ga.,Ga.,Geo.,,,,,
23,Hawaii,State,US-HI,HI,15,HI,HA,Hawaii,Hawaii,H.I.,,,,,
24,Idaho,State,US-ID,ID,16,ID,ID,Idaho,Idaho,"Id., Ida.",,,,,
25,Illinois,State,US-IL,IL,17,IL,IL,Ill.,Ill.,"Il., Ills., Ill's",,,,,
26,Indiana,State,US-IN,IN,18,IN,IN,Ind.,Ind.,In.,,,,,
27,Iowa,State,US-IA,IA,19,IA,IA,Iowa,Iowa,"Ia., Ioa.[a]",,,,,
28,Kansas,State,US-KS,KS,20,KS,KA,Kans.,Kan.,"Ks., Ka.",,,,,
29,Kentucky,State (Commonwealth),US-KY,KY,21,KY,KY,Ky.,Ky.,"Ken., Kent.[b]",,,,,
30,Louisiana,State,US-LA,LA,22,LA,LA,La.,La.,,,,,,
31,Maine,State,US-ME,ME,23,ME,ME,Maine,Maine,Me.,,,,,
32,Maryland,State,US-MD,MD,24,MD,MD,Md.,Md.,,,,,,
33,Massachusetts,State (Commonwealth),US-MA,MA,25,MA,MS,Mass.,Mass.,,,,,,
34,Michigan,State,US-MI,MI,26,MI,MC,Mich.,Mich.,,,,,,
35,Minnesota,State,US-MN,MN,27,MN,MN,Minn.,Minn.,Mn.,,,,,
36,Mississippi,State,US-MS,MS,28,MS,MI,Miss.,Miss.,,,,,,
37,Missouri,State,US-MO,MO,29,MO,MO,Mo.,Mo.,,,,,,
38,Montana,State,US-MT,MT,30,MT,MT,Mont.,Mont.,,,,,,
39,Nebraska,State,US-NE,NE,31,NE,NB,Nebr.,Neb.,,,,,,
40,Nevada,State,US-NV,NV,32,NV,NV,Nev.,Nev.,Nv.,,,,,
41,NewHampshire,State,US-NH,NH,33,NH,NH,N.H.,N.H.,,,,,,
42,NewJersey,State,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.,N.Jersey,,,,,
43,NewMexico,State,US-NM,NM,35,NM,NM,N. Mex.,N.M.,New M.,,,,,
44,NewYork,State,US-NY,NY,36,NY,NY,N.Y.,N.Y.,N. York,,,,,
45,NorthCarolina,State,US-NC,NC,37,NC,NC,N.C.,N.C.,N. Car.,,,,,
46,NorthDakota,State,US-ND,ND,38,ND,ND,N. Dak.,N.D.,NoDak,,,,,
47,Ohio,State,US-OH,OH,39,OH,OH,Ohio,Ohio,"O., Oh.",,,,,
48,Oklahoma,State,US-OK,OK,40,OK,OK,Okla.,Okla.,Ok.,,,,,
49,Oregon,State,US-OR,OR,41,OR,OR,Oreg.,Ore.,Or.,,,,,
50,Pennsylvania,State (Commonwealth),US-PA,PA,42,PA,PA,Pa.,Pa.,"Penn., Penna.",,,,,
51,RhodeIsland,State,US-RI,RI,44,RI,RI,R.I.,R.I.,"R.I. & P.P., R. Isl.",,,,,
52,SouthCarolina,State,US-SC,SC,45,SC,SC,S.C.,S.C.,S. Car.,,,,,
53,SouthDakota,State,US-SD,SD,46,SD,SD,S. Dak.,S.D.,SoDak,,,,,
54,Tennessee,State,US-TN,TN,47,TN,TN,Tenn.,Tenn.,,,,,,
55,Texas,State,US-TX,TX,48,TX,TX,Tex.,Texas,Tx.,,,,,
56,Utah,State,US-UT,UT,49,UT,UT,Utah,Utah,Ut.,,,,,
57,Vermont,State,US-VT,VT,50,VT,VT,Vt.,Vt.,,,,,,
58,Virginia,State (Commonwealth),US-VA,VA,51,VA,VA,Va.,Va.,Virg.,,,,,
59,Washington,State,US-WA,WA,53,WA,WN,Wash.,Wash.,"Wa., Wn.[1]",,,,,
60,WestVirginia,State,US-WV,WV,54,WV,WV,W. Va.,W.Va.,"W.V., W. Virg.",,,,,
61,Wisconsin,State,US-WI,WI,55,WI,WS,Wis.,Wis.,"Wi., Wisc.",,,,,
62,Wyoming,State,US-WY,WY,56,WY,WY,Wyo.,Wyo.,Wy.,,,,,
63,AmericanSamoa,Insular area (Territory),ASASM016US-AS,AS,60,AS,AS,A.S.,,,,,,,
64,Guam,Insular area (Territory),GUGUM316US-GU,GU,66,GU,GU,Guam,,,,,,,
65,NorthernMarianaIslands,Insular area (Commonwealth),MPMNP580US-MP,MP,69,MP,CM,M.P.,,CNMI[2],,,,,
66,PuertoRico,Insular area (Territory),PRPRI630US-PR,PR,72,PR,PR,P.R.,,,,,,,
67,U.S.VirginIslands,Insular area (Territory),VIVIR850US-VI,VI,78,VI,VI,V.I.,,U.S.V.I.,,,,,
68,U.S.MinorOutlyingIslands,Insular areas,UMUMI581US-UM,UM,74,,,,,,,,,,
69,BakerIsland,island,UM-81,,81,,,,,XB[3],,,,,
70,HowlandIsland,island,UM-84,,84,,,,,XH[3],,,,,
71,JarvisIsland,island,UM-86,,86,,,,,XQ[3],,,,,
72,JohnstonAtoll,atoll,UM-67,,67,,,,,XU[3],,,,,
73,KingmanReef,atoll,UM-89,,89,,,,,XM[3],,,,,
74,MidwayIslands,atoll,UM-71,,71,,,,,QM[3],,,,,
75,NavassaIsland,island,UM-76,,76,,,,,XV[3],,,,,
76,PalmyraAtoll[c],atoll[c],UM-95,,95,,,,,XL[3],,,,,
77,WakeIsland,atoll,UM-79,,79,,,,,QW[3],,,,,
78,Micronesia,Freely associated state,FMFSM583,FM,64,FM,,,,,,,,,
79,MarshallIslands,Freely associated state,MHMHL584,MH,68,MH,,,,,,,,,
80,Palau,Freely associated state,PWPLW585,PW,70,PW,,,,,,,,,
81,U.S.ArmedForces–Americas[d],US military mail code,,,,AA,,,,,,,,,
82,U.S.ArmedForces–Europe[e],US military mail code,,,,AE,,,,,,,,,
83,U.S.ArmedForces–Pacific[f],US military mail code,,,,AP,,,,,,,,,
84,NorthernMarianaIslands,Obsolete postal code[g],,,,CM,,,,,,,,,
85,PanamaCanalZone,Obsolete postal code,PZPCZ594,,,CZ,,,,,,,,,
86,Nebraska,Obsolete postal code[h],,,,NB,,,,,,,,,
87,PhilippineIslands,Obsolete postal code,PHPHL608[4],,,PI,,,,,,,,,
88,TrustTerritoryofthePacificIslands,Obsolete postal code,PCPCI582,,,TT,,,,,,,,,
