,variance,skewness,curtosis,entropy,class
888,-2.5701,-6.8452,8.9999,2.1353,1
1316,-1.6029,-0.38903000000000004,1.62,1.9103,1
1010,-2.9915,-6.6258,8.6521,1.8198,1
889,-1.3066,0.25244,0.7623,1.7758,1
950,-2.0891,-0.48422,1.704,1.7435,1
1133,-2.0046,-0.49456999999999995,1.3330000000000002,1.6543,1
1072,-1.3659999999999999,0.18416,0.9053899999999999,1.5806,1
1093,0.74428,-3.7723,1.6131,1.5754,1
1078,-0.37013,-5.553999999999999,4.7749,1.547,1
1071,-2.5373,-6.959,8.8054,1.5289,1
1083,-0.6987899999999999,-3.3771,4.1211,1.5043,1
895,-0.63298,-5.1277,4.5624,1.4797,1
1337,0.2346,-4.5152,2.1195,1.4448,1
1011,-1.8483,0.31038000000000004,0.77344,1.4189,1
1017,-0.9358700000000001,-5.1008,4.5367,1.3866,1
1005,-2.8989999999999996,-0.60424,2.6045,1.3776,1
767,-2.2804,-0.30626,1.3347,1.3763,1
1032,0.16358,-3.3584,1.3749,1.3569,1
944,-2.121,-0.05587999999999999,1.949,1.3530000000000002,1
947,-1.682,-6.8121,7.1398,1.3323,1
465,-2.6989,12.1984,0.67661,-8.5482,0
581,-1.9667,11.8052,-0.40471999999999997,-7.8719,0
291,-2.2153,11.9625,0.078538,-7.7853,0
394,-2.2623,12.1177,0.28846,-7.7581,0
740,-2.4473,12.6247,0.73573,-7.6612,0
562,-2.4604,12.7302,0.91738,-7.6418,0
194,-2.3409999999999997,12.3784,0.70403,-7.5836,0
529,-1.3885,12.5026,0.69118,-7.5487,0
45,-0.7869,9.5663,-3.7867,-7.5034,0
202,-0.78689,9.5663,-3.7867,-7.5034,0
47,-0.7869,9.5663,-3.7867,-7.5034,0
543,-1.4217,11.6542,-0.057699,-7.1025,0
59,-0.78289,11.3603,-0.37644,-7.0495,0
606,-1.4275,11.8797,0.41613,-6.9978,0
341,-1.1804,11.5093,0.15565,-6.8194,0
615,-0.2062,9.2207,-3.7044,-6.8103,0
41,-0.2062,9.2207,-3.7044,-6.8103,0
139,-0.2062,9.2207,-3.7044,-6.8103,0
677,0.25035,9.3262,-3.6873,-6.2543,0
495,-0.12624000000000002,10.3216,-3.7121,-6.1185,0
