LotArea,BedroomAbvGr,GarageArea,OverallCond,SalePrice
9000,1,308,3,35311
8500,3,250,4,40000
8712,2,504,5,55993
8212,2,200,3,58500
9571,3,350,3,60000
8400,1,246,5,60000
8281,3,360,5,62383
10800,4,216,6,64500
5720,3,200,6,66500
8967,2,338,2,67000
7500,2,528,4,68400
6324,1,240,6,68500
6627,2,287,6,72500
5232,2,504,5,73000
2001,3,286,5,75000
9000,2,360,3,76000
6402,3,189,5,78000
5000,3,352,4,79000
9100,2,308,6,79500
5825,1,528,5,79900
1477,1,286,4,80000
12180,2,280,4,80000
4608,2,220,6,80000
18000,2,1248,4,81000
10206,2,528,3,82000
8400,2,294,4,82000
12342,1,539,5,82500
11900,3,544,5,82500
10625,2,366,5,83000
1953,2,264,5,83000
1974,3,286,5,83500
11500,3,290,3,84000
11100,2,308,7,84900
2592,3,336,3,85000
7200,2,280,4,85000
1680,2,264,5,85400
1526,1,286,8,86000
5400,2,216,6,86000
9439,2,160,5,87000
5000,2,360,6,87000
9600,4,779,2,87000
8544,2,400,4,87500
2217,3,286,4,88000
1680,3,264,5,88000
6120,3,450,7,88000
6000,2,205,7,89000
5925,2,672,7,89471
1680,2,264,3,89500
7200,2,420,5,90000
13600,5,560,5,90000
10791,2,516,5,90000
4280,2,352,6,90350
6292,2,160,5,91000
9786,3,210,4,91000
1596,2,297,5,91000
5784,2,273,8,91300
7585,4,280,3,91500
8544,2,400,4,92900
6000,3,256,4,93000
6000,2,576,4,93000
8544,2,400,4,93500
1680,2,288,5,94500
10921,3,432,5,94750
9084,3,200,6,95000
10615,3,420,5,95000
10594,2,200,5,96500
12702,2,308,5,97000
10500,2,576,6,97000
17503,3,330,5,97500
8405,4,240,3,98000
4571,4,513,5,98000
7200,3,420,5,98300
8500,2,480,3,98600
7892,2,264,5,99500
8520,2,480,6,100000
7150,3,288,5,100000
6060,3,264,5,100000
6911,2,440,5,100000
1680,2,264,5,100000
10800,2,273,7,100000
8877,2,288,6,100000
7200,3,288,7,101000
9842,2,462,5,101800
8877,2,396,5,102000
6180,2,180,5,102000
8712,2,384,7,102776
6240,2,539,5,103000
6629,3,300,6,103600
9738,4,392,7,104900
12513,4,368,4,104900
5400,2,338,6,105000
10410,3,936,4,105000
6120,2,180,7,105000
9492,3,240,5,105000
9060,2,280,5,105000
7227,2,528,6,105500
8520,2,484,8,105900
8100,2,360,5,106000
2016,3,440,5,106000
1869,2,280,6,106000
8339,3,294,7,106500
8765,2,327,6,106500
7819,3,672,5,107000
9906,3,210,4,107000
8900,2,384,4,107000
5790,3,379,6,107400
6600,4,432,4,107500
7200,2,392,7,107500
6000,2,281,7,107900
10200,2,240,8,108000
9084,4,296,5,108000
8777,2,520,5,108000
11040,3,570,6,108000
8978,3,300,5,108000
5400,2,326,6,108480
6000,2,308,4,108500
12900,0,400,4,108959
10134,2,240,6,109000
7922,3,246,7,109000
8593,3,352,6,109008
9022,2,240,8,109500
7200,2,625,7,109500
6600,2,308,5,109500
4800,2,440,7,109900
7200,2,420,5,109900
7162,3,408,7,109900
10440,2,440,6,110000
11475,4,888,5,110000
9477,3,264,5,110000
8472,2,516,5,110000
7990,3,280,6,110000
5684,2,270,8,110000
9450,3,400,5,110000
7340,2,684,6,110000
12354,3,528,8,110000
7015,3,352,4,110000
7677,2,240,5,110000
3500,2,240,7,110000
13560,2,576,3,110000
6000,2,440,6,110500
10215,3,248,5,111000
12735,3,576,5,111250
8930,4,539,5,112000
7000,2,398,6,112000
11767,2,384,7,112000
25339,3,576,7,112000
8926,3,288,3,112000
1680,3,280,5,112000
7700,3,461,5,112500
6000,3,288,6,112500
9340,2,234,6,113000
21750,2,520,5,113000
1890,3,264,5,113000
6380,2,280,6,113000
8741,3,220,4,113000
6240,3,528,6,114500
10150,2,275,5,114500
3600,3,216,7,114504
10434,2,672,5,115000
10480,3,240,5,115000
6000,2,250,5,115000
8960,2,360,6,115000
7800,2,288,5,115000
6240,3,240,4,115000
2665,3,336,6,115000
21750,3,336,4,115000
3950,3,210,8,115000
8172,2,572,7,115000
8892,3,414,7,116000
8248,3,280,7,116000
4400,2,440,8,116000
9353,3,280,5,116050
5700,2,288,7,116900
6000,3,216,8,117000
5310,2,255,8,117000
10998,3,660,5,117000
5400,2,326,7,117000
9900,5,205,4,117500
9100,2,429,6,117500
9000,2,286,5,118000
7420,2,205,6,118000
1680,3,264,7,118000
1680,2,264,8,118000
8263,2,308,5,118400
8480,2,336,5,118500
7943,3,261,5,118500
6204,5,440,5,118500
7018,4,400,5,118858
7018,4,410,5,118964
7200,2,240,7,119000
7200,3,276,7,119000
8190,3,280,6,119000
10624,6,352,4,119000
8405,4,384,8,119000
6000,2,180,7,119000
9600,3,288,5,119000
11664,2,240,5,119200
6951,3,264,5,119500
1680,3,264,7,119500
8600,3,198,6,119500
9758,3,280,5,119500
6305,2,240,7,119750
7800,3,300,5,119900
7800,3,410,7,119900
6000,3,208,7,120000
10762,3,288,6,120000
9060,3,252,6,120000
6000,2,308,7,120000
7535,2,297,7,120000
7332,2,288,6,120000
10800,2,720,6,120000
9000,3,528,6,120500
6960,3,660,6,120500
6900,2,924,6,120500
5890,2,432,8,120500
8854,2,192,6,121000
11341,3,528,6,121500
4712,3,305,7,121600
9819,3,280,5,122000
10120,4,308,4,122000
10356,3,440,6,122000
11340,4,560,6,122500
1920,2,440,5,122500
8064,3,576,7,122900
8294,3,480,5,123000
7838,3,288,5,123000
10634,3,270,6,123000
7200,2,600,5,123000
6420,2,308,7,123500
9204,3,336,5,124000
1300,2,462,6,124000
8280,2,306,5,124000
9000,3,240,6,124000
8944,4,792,5,124000
8120,3,463,7,124500
8314,2,264,7,124500
7596,4,400,5,124500
9600,3,270,6,124500
8820,2,456,6,124900
7200,2,352,7,124900
8235,2,720,7,125000
2368,3,440,6,125000
7200,3,352,6,125000
9100,6,504,5,125000
8521,3,336,5,125000
9600,3,250,8,125000
7094,3,384,5,125000
11340,4,312,5,125000
10880,3,240,5,125000
7175,2,264,5,125000
6173,3,288,6,125500
5436,3,240,8,125500
7740,3,528,7,125500
7200,2,297,6,125500
8160,3,240,6,126000
10125,4,539,5,126000
8775,3,299,5,126000
5820,3,220,8,126175
8892,3,461,5,126500
6897,3,260,8,127000
7438,3,576,8,127000
7910,4,404,5,127000
7180,3,352,7,127000
7742,3,386,7,127000
8635,2,240,5,127000
5000,3,308,6,127000
2665,4,336,6,127000
9855,3,480,5,127500
6240,3,560,6,127500
9100,2,300,6,127500
4043,2,440,5,127500
9600,2,436,7,128000
6858,4,216,4,128000
9920,3,280,5,128000
6155,3,502,8,128000
6000,3,240,6,128000
4928,2,440,5,128000
10650,3,308,6,128200
9920,3,300,6,128500
9945,3,572,5,128500
9560,3,288,7,128500
12358,2,660,6,128500
9600,2,338,6,128900
6970,3,544,5,129000
8724,3,450,5,129000
7200,3,720,8,129000
9873,3,576,5,129000
9571,3,596,6,129000
5868,2,308,7,129000
8400,3,240,5,129000
18450,3,596,5,129000
7244,2,624,7,129500
9600,3,396,5,129500
11200,3,384,5,129500
